"Country","Response_measure","date_start","date_end"
"Austria","AdaptationOfWorkplace",2020-03-16,2020-04-13
"Austria","AdaptationOfWorkplace",2021-04-01,NA
"Austria","BanOnAllEvents",2020-11-03,NA
"Austria","ClosDaycare",2020-03-16,2020-05-04
"Austria","ClosDaycarePartial",2020-11-17,2020-12-07
"Austria","ClosHigh",2020-03-16,2020-09-30
"Austria","ClosHighPartial",2020-11-03,NA
"Austria","ClosPrim",2020-03-16,2020-05-18
"Austria","ClosPrim",2020-12-26,2021-02-07
"Austria","ClosPrimPartial",2020-11-17,2020-12-07
"Austria","ClosPubAny",2020-03-16,2020-04-13
"Austria","ClosPubAny",2020-05-02,2020-05-14
"Austria","ClosPubAny",2020-11-16,2020-12-06
"Austria","ClosPubAny",2020-12-28,2021-02-06
"Austria","ClosPubAnyPartial",2020-04-14,2020-05-01
"Austria","ClosPubAnyPartial",2020-05-15,2020-11-15
"Austria","ClosPubAnyPartial",2020-12-07,2020-12-27
"Austria","ClosPubAnyPartial",2021-02-07,NA
"Austria","ClosSec",2020-03-16,2020-05-03
"Austria","ClosSec",2020-11-03,2021-02-07
"Austria","ClosSecPartial",2020-05-04,2020-06-03
"Austria","ClosSecPartial",2021-02-08,NA
"Austria","EntertainmentVenues",2020-03-16,2020-04-30
"Austria","EntertainmentVenues",2020-11-03,2021-02-07
"Austria","EntertainmentVenuesPartial",2021-02-08,NA
"Austria","GymsSportsCentres",2020-11-03,NA
"Austria","HotelsOtherAccommodation",2020-03-31,2020-05-29
"Austria","HotelsOtherAccommodation",2020-11-03,NA
"Austria","IndoorOver100",2020-03-10,2020-07-01
"Austria","IndoorOver1000",2020-07-02,2020-07-31
"Austria","IndoorOver1000",2020-09-21,2020-11-02
"Austria","MasksMandatoryAllSpaces",2020-09-14,NA
"Austria","MasksMandatoryClosedSpaces",2020-04-06,2020-06-14
"Austria","MasksMandatoryClosedSpacesPartial",2020-06-15,2020-09-13
"Austria","MasksVoluntaryClosedSpacesPartial",2020-03-31,2020-04-05
"Austria","MassGather50",2020-04-30,2020-05-29
"Austria","MassGather50",2020-11-03,NA
"Austria","MassGatherAll",2020-03-10,2020-07-31
"Austria","MassGatherAll",2020-09-21,NA
"Austria","NonEssentialShops",2020-03-16,2020-04-13
"Austria","NonEssentialShops",2020-11-17,2020-12-06
"Austria","NonEssentialShops",2020-12-26,2021-02-07
"Austria","NonEssentialShopsPartial",2020-04-14,2020-05-01
"Austria","NonEssentialShopsPartial",2021-02-08,NA
"Austria","OutdoorOver1000",2020-07-02,2020-07-31
"Austria","OutdoorOver1000",2020-09-21,2020-11-02
"Austria","OutdoorOver50",2020-04-30,2020-05-29
"Austria","OutdoorOver500",2020-03-10,2020-04-29
"Austria","OutdoorOver500",2020-05-30,2020-07-01
"Austria","PlaceOfWorship",2020-03-16,2020-05-14
"Austria","PlaceOfWorship",2020-11-16,2020-12-06
